road_length,road_length_km,lanes,maxspeed,oneway,avg_accident_hour,avg_temperature,peak_hour_ratio,weekend_ratio,traffic_signal_ratio,festival_ratio,traffic_signal_ratio,"road_type_['residential', 'unclassified']",road_type_living_street,road_type_motorway,road_type_motorway_link,road_type_primary,road_type_primary_link,road_type_residential,road_type_secondary,road_type_tertiary,road_type_tertiary_link,road_type_trunk,road_type_trunk_link,road_type_unclassified,weather_clear,weather_fog,weather_rain,weather_unknown,traffic_high,traffic_low,traffic_medium,traffic_unknown,cause_distraction,cause_drunk driving,cause_overspeeding,cause_poor road,cause_unknown,cause_weather,risk_level,risk_score
24.935894850316977,0.024935894850316977,2.0,40.0,0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Low,0.0
253.28180237250365,0.25328180237250364,2.0,40.0,0,10.375,28.875,0.25,0.125,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Critical,94.29650613786592
60.086513922945386,0.06008651392294539,2.0,40.0,0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Low,0.0
53.2515932917104,0.0532515932917104,2.0,40.0,0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Low,0.0
121.92150770117104,0.12192150770117104,2.0,40.0,0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,Medium,38.1586402266289
258.54807517357466,0.25854807517357464,2.0,40.0,0,7.5,23.5,0.0,0.5,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,Critical,88.45136921624174
152.41190263420953,0.15241190263420953,2.0,40.0,1,12.0,29.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,Critical,88.45136921624174
39.74126889071268,0.03974126889071268,2.0,40.0,0,8.0,16.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Medium,38.1586402266289
147.5795465183951,0.14757954651839508,2.0,40.0,0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Low,0.0
149.96833515022678,0.14996833515022678,2.0,40.0,0,16.0,23.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,High,57.80925401322001
86.01750205329337,0.08601750205329337,2.0,40.0,0,13.25,29.875,0.25,0.25,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Critical,95.17469310670444
78.04923916780712,0.07804923916780712,2.0,40.0,0,9.0,25.0,0.5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,High,73.04060434372049
40.44952013180848,0.04044952013180848,2.0,40.0,0,17.0,18.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,Medium,49.405099150141645
132.55347718774368,0.13255347718774368,2.0,40.0,0,1.0,39.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Medium,41.1614730878187
27.133791449980617,0.027133791449980616,2.0,40.0,0,12.0,16.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,Medium,38.1586402266289
94.08180391405996,0.09408180391405996,2.0,40.0,0,10.0,21.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Medium,29.27289896128424
53.69825705481789,0.053698257054817886,2.0,40.0,0,19.0,28.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,High,68.60245514636449
143.52489629129704,0.14352489629129703,2.0,40.0,0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Low,0.0
79.28654626377221,0.07928654626377221,2.0,40.0,0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,High,58.72521246458924
29.42039994322731,0.02942039994322731,2.0,40.0,0,12.0,27.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,Low,0.0
92.84438252266138,0.09284438252266138,2.0,40.0,0,9.0,18.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,Medium,29.27289896128424
