u,v,key,accident_count,severity_score,total_casualties,frequency_norm,severity_norm,casualty_norm,risk_score,risk_level,road_length,highway,lanes,maxspeed,oneway
62011481,334473795,0,1,1,0,0.0,0.0,0.0,0.0,Low,174.5377488198285,residential,2,,True
247974066,247974064,0,1,1,2,0.0,0.0,0.009389671361502348,0.18779342723004697,Low,277.627915542417,trunk,2,,True
248459812,248459811,0,1,1,1,0.0,0.0,0.004694835680751174,0.09389671361502348,Low,187.35522397938067,secondary,2,25,True
248459877,248455485,0,1,1,0,0.0,0.0,0.0,0.0,Low,113.19620720360308,primary,,40,True
248525409,10289145755,0,1,1,0,0.0,0.0,0.0,0.0,Low,212.37590027848447,primary,2,,True
248810153,503975983,0,1,3,3,0.0,0.007434944237918215,0.014084507042253521,0.5790879103617991,Low,120.77905083862859,residential,,,False
249075659,303935969,0,1,1,1,0.0,0.0,0.004694835680751174,0.09389671361502348,Low,209.64147750351086,secondary,,,True
249137583,1277414198,0,1,1,0,0.0,0.0,0.0,0.0,Low,115.32273046791177,residential,,,False
249585508,3533173819,0,1,3,1,0.0,0.007434944237918215,0.004694835680751174,0.3912944831317521,Low,46.28309752906007,primary,,,True
249775639,4830093914,0,1,3,1,0.0,0.007434944237918215,0.004694835680751174,0.3912944831317521,Low,50.843394803937194,residential,,,False
251104952,325107559,0,1,1,4,0.0,0.0,0.018779342723004695,0.37558685446009393,Low,427.2426178117555,tertiary,2,30,True
251106828,251106717,0,1,1,1,0.0,0.0,0.004694835680751174,0.09389671361502348,Low,662.4216781085174,residential,,30,False
254665655,10121050217,0,1,1,2,0.0,0.0,0.009389671361502348,0.18779342723004697,Low,346.5836621198856,primary,2,,True
264845751,2206930282,0,1,1,5,0.0,0.0,0.023474178403755867,0.4694835680751174,Low,175.6737566977658,secondary,2,,False
266274986,10094586223,0,1,1,4,0.0,0.0,0.018779342723004695,0.37558685446009393,Low,178.84939914973077,residential,,,False
267216122,267216110,0,3,7,6,0.016260162601626018,0.022304832713754646,0.028169014084507043,2.1059800943053673,Low,320.74792588240956,tertiary,2,,False
267217102,267217059,0,1,1,0,0.0,0.0,0.0,0.0,Low,663.449752967844,secondary,,,True
272717139,3034593622,0,1,5,3,0.0,0.01486988847583643,0.014084507042253521,0.8764856798785278,Low,130.4691319597073,residential,,,False
287899763,287897029,0,1,1,5,0.0,0.0,0.023474178403755867,0.4694835680751174,Low,287.30529595387446,tertiary,,,False
292563598,11888184756,0,30,62,39,0.23577235772357724,0.22676579925650558,0.18309859154929578,22.163498110189227,Low,17.86430103110427,secondary,,,True
